gid,nearest_station,nearest_station_distance,parking_score
다사628508,군자,95.90618213888278,1.0055493593062725
다사636494,구의,817.0515183183305,1.6983594686579058
다사622510,군자,615.8353832671703,0.28139718470974373
다사622494,건대입구,332.95212871788476,0.51696523688213
다사630485,구의,322.8196457198692,1.6679810183196704
다사626479,구의,1015.4601146659627,4.101561395024576
다사631522,중곡,361.725990434109,1.5755549039584678
다사635513,중곡,624.8818910552471,1.0197392302728916
다사632483,구의,358.00991885457137,1.9986888670782723
다사627503,어린이대공원,528.1709869851433,0.8333917731522371
다사633482,구의,447.3978633390348,1.8869417667381772
다사633494,구의,755.5502058806467,1.1421616273405713
다사625513,군자,505.7374794004913,0.48685673130511464
다사614491,건대입구,496.6545409520324,0.5892655343665315
다사644492,광나루,643.4052943652754,0.8576182253512675
다사630524,중곡,585.2810205935976,1.1032944854124906
다사631489,구의,316.1619957352838,1.6908587007559808
다사618489,건대입구,174.6171377782325,2.3791208896873073
다사645490,강변,653.9021319713223,0.8977247609375936
다사651495,광나루,192.8320121320203,0.08066428029925111
다사629484,구의,459.360976553522,1.7967857879195788
다사631509,군자,284.07086212172317,1.0111112359869059
다사641504,아차산,405.62898433063424,0.9072846196244208
다사626517,중곡,657.8365119628702,0.23273111107511288
다사615483,건대입구,845.5497352708522,0.8518183596581386
다사627478,구의,1031.4986815483844,6.55449958520693
다사627506,군자,316.8011852956494,1.3084604624240534
다사638514,중곡,730.2032092003869,0.7957123921629156
다사628506,군자,295.5138372418922,2.187816817526153
다사642512,아차산,1008.68236285718,0.9071505323765706
다사647489,광나루,713.0081139177166,0.4900455969810336
다사640506,아차산,406.48828317457605,0.8158623621353492
다사633495,구의,855.7644276951731,1.0425948657273219
다사623510,군자,517.6215328939312,0.31266189675178846
다사642513,아차산,1096.9355737688602,0.7644436066763949
다사615489,건대입구,420.418856427974,0.886983624417211
다사626505,군자,450.02243187775287,1.3046211973846948
다사637501,아차산,225.5507747005778,0.4846599318016764
다사634477,구의,954.9070941213355,0.8467179118112151
다사638485,강변,343.20363885733127,1.8452573602618032
다사638498,아차산,535.4902385624766,0.5553804977853763
다사640498,아차산,605.1334125923743,0.5236618150576234
다사636502,아차산,160.5859782680404,0.6462748608139867
다사619483,건대입구,748.1731764487853,1.004721871108451
다사634493,구의,664.6704996822888,1.372218471558788
다사626487,건대입구,670.3870818746587,1.0564131927879277
다사634516,중곡,312.0681002791615,1.0889627025645077
다사629480,구의,754.7345493168809,2.4557034018660078
다사625480,구의,1018.9890040068924,2.3067408701938015
다사631520,중곡,192.03939312293198,1.120421683990746
다사629487,구의,391.152671024669,1.2434529148297673
다사631524,중곡,552.4236581011352,1.6148688869850218
다사624481,구의,1041.8865284305496,1.7962347174486197
다사638512,중곡,872.1578036558682,0.8957451202266418
다사636510,아차산,683.8802285632704,1.113221106550937
다사621498,어린이대공원,288.75957586692607,0.6189619255869014
다사623486,건대입구,553.7373015182495,1.4634618955995191
다사620480,건대입구,1054.0749119085779,1.2308670479154062
다사620482,건대입구,854.8564416087461,1.416058653357716
다사647501,광나루,570.1756231502611,0.1690730697867656
다사643502,아차산,611.1954438101085,0.3988899417413477
다사635495,아차산,850.797881934255,1.2774924918490538
다사621496,어린이대공원,395.8060573836009,1.7852796239787194
다사618486,건대입구,457.3618553379161,0.8736324250187407
다사635522,중곡,424.8769753994829,1.4165900122454478
다사639489,강변,507.19855918312277,6.731220543844685
다사633489,구의,254.60597660893765,2.4602467057127813
다사624508,군자,420.1242611965983,0.4896092678333608
다사624482,건대입구,962.0159409458685,1.8379318661096347
다사627484,구의,636.8059137610361,1.65049433826052
다사635482,구의,494.6757023353235,1.4925853979554722
다사621487,건대입구,401.15823726967074,0.8078961374515541
다사655501,광나루,779.7456856542717,0.2887552911619366
다사638480,강변,568.3994619663214,1.0409508695555052
다사634513,중곡,590.0711997284857,1.863206470454844
다사630510,군자,212.43150472287056,0.8733007586434136
다사639490,강변,597.3478534428388,3.5718134109689155
다사655502,광나루,850.4831190511909,0.1752278094204033
다사631494,구의,778.4489276842102,0.6847450516144221
다사624499,어린이대공원,28.76908695890715,0.7972480531143638
다사638486,강변,370.13708225450466,2.2581660966669896
다사649497,광나루,126.27558457762935,0.12159934018446722
다사625479,구의,1085.4584276721398,2.7415207318324284
다사628477,구의,1066.2220576685233,2.809477836953515
다사642501,아차산,547.0631310108537,0.4345780132413321
다사629479,구의,842.3197971567542,2.836760043617516
다사632485,구의,170.96904754118506,1.8620093634449337
다사634495,구의,862.9319786613283,1.133305921704611
다사626516,중곡,690.0536968569885,0.2444761111244711
다사621504,어린이대공원,587.9639881309697,0.4385184504567913
다사648495,광나루,144.0585705750802,0.21195371991619685
다사628510,군자,100.69369689604244,0.7498198962275141
